drugtest,age,educate,fulltime,gender,race,married,income,south,sales,construc,othwork,mjuser
no testing program,42,6,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,43,9,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,19,12,yes,male,non-white,married,medium or high,yes,yes,no,construction or sales,no
no testing program,29,16,yes,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,19,5,yes,female,non-white,not married,low,no,no,no,other occupation,no
no testing program,18,9,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,31,16,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,27,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,54,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,44,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,36,14,yes,female,non-white,married,medium or high,no,no,no,other occupation,yes
preemployment & random testing program,18,6,yes,male,non-white,not married,medium or high,no,no,yes,construction or sales,no
no testing program,25,15,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,29,10,yes,male,non-white,married,medium or high,yes,yes,no,construction or sales,no
no testing program,18,7,yes,male,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,34,12,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,35,10,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,31,9,no,female,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,27,10,yes,male,non-white,married,medium or high,yes,no,no,other occupation,yes
no testing program,28,9,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
no testing program,23,14,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
no testing program,32,11,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,43,6,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,21,9,no,male,non-white,married,low,yes,no,no,other occupation,no
no testing program,18,9,no,male,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment testing program,25,10,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,20,12,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
preemployment testing program,29,7,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,41,12,yes,male,non-white,married,medium or high,yes,no,yes,construction or sales,no
no testing program,22,12,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,18,12,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,32,14,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,35,12,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,22,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,22,12,yes,female,non-white,not married,medium or high,no,yes,no,construction or sales,no
no testing program,18,11,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,21,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,20,12,no,female,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,30,16,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,28,6,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,25,1,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,28,11,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,29,17,yes,female,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,30,16,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,26,14,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,21,12,no,male,non-white,not married,medium or high,no,yes,no,construction or sales,no
no testing program,28,6,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,19,9,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,38,3,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,29,6,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,31,8,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,30,14,no,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,28,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,36,15,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
random testing program,37,12,no,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,30,9,yes,male,non-white,married,medium or high,no,yes,no,construction or sales,no
no testing program,27,12,yes,male,non-white,married,medium or high,no,no,yes,construction or sales,no
no testing program,36,3,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,32,12,yes,male,non-white,married,medium or high,no,no,yes,construction or sales,yes
no testing program,20,14,no,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,22,10,no,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,34,15,no,female,non-white,married,medium or high,no,yes,no,construction or sales,no
no testing program,19,9,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,31,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,52,14,yes,male,non-white,not married,medium or high,no,no,yes,construction or sales,no
preemployment & random testing program,43,10,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,23,6,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,19,10,yes,male,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,19,9,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,30,3,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,25,6,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,29,10,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,29,15,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,32,12,no,female,non-white,married,medium or high,no,yes,no,construction or sales,no
preemployment testing program,37,11,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,25,4,yes,male,non-white,married,low,no,no,no,other occupation,yes
no testing program,24,6,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,28,6,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,25,5,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,21,7,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,23,11,yes,male,non-white,married,medium or high,no,yes,no,construction or sales,no
no testing program,30,12,yes,male,non-white,married,medium or high,no,no,yes,construction or sales,yes
no testing program,30,13,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,20,11,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,24,17,no,male,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,33,0,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,39,11,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,31,2,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,19,9,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,22,9,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,22,12,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,18,10,yes,male,non-white,not married,medium or high,no,no,no,other occupation,yes
preemployment testing program,22,8,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,49,6,no,female,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,28,4,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,26,12,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,31,13,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,30,12,yes,male,non-white,married,medium or high,no,yes,no,construction or sales,no
no testing program,21,14,no,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,32,12,yes,male,non-white,not married,medium or high,no,no,yes,construction or sales,yes
no testing program,32,12,yes,male,non-white,married,medium or high,no,yes,no,construction or sales,no
preemployment & random testing program,30,9,yes,male,non-white,married,low,no,no,no,other occupation,no
no testing program,21,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,32,13,no,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,26,16,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,19,12,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,45,7,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,33,11,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,41,5,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,22,3,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,35,6,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,28,10,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,29,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,32,0,no,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,32,4,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,24,6,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,33,2,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
random testing program,32,4,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,36,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,35,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,33,12,no,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,19,8,no,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,18,3,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,24,14,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,31,11,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,21,12,no,male,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,24,12,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,19,9,no,male,non-white,not married,low,no,no,no,other occupation,yes
preemployment & random testing program,57,4,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,63,3,no,male,non-white,married,low,no,no,no,other occupation,no
no testing program,29,5,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,30,13,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,25,6,no,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,29,6,no,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,22,5,no,male,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,27,11,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,27,10,yes,male,non-white,married,low,no,no,no,other occupation,no
no testing program,43,14,yes,female,non-white,not married,low,no,no,no,other occupation,no
no testing program,23,10,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,42,2,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,40,13,yes,male,non-white,married,medium or high,no,yes,no,construction or sales,no
preemployment testing program,37,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,19,6,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,27,9,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,21,11,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,23,9,yes,male,non-white,not married,medium or high,no,yes,no,construction or sales,no
no testing program,33,8,yes,male,non-white,married,low,no,no,no,other occupation,no
preemployment testing program,33,11,yes,male,non-white,married,medium or high,no,no,yes,construction or sales,no
no testing program,43,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,44,16,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,21,16,no,female,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,24,12,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,32,9,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,19,12,yes,female,non-white,not married,medium or high,no,yes,no,construction or sales,yes
no testing program,18,9,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,28,2,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,21,12,yes,female,non-white,not married,low,no,no,no,other occupation,no
preemployment & random testing program,32,12,no,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,19,12,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
no testing program,23,13,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,33,12,yes,male,non-white,married,low,yes,no,no,other occupation,no
no testing program,28,12,yes,male,non-white,not married,low,yes,no,no,other occupation,no
no testing program,30,12,yes,male,non-white,married,medium or high,yes,yes,no,construction or sales,no
no testing program,25,12,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,31,2,yes,male,non-white,married,low,yes,no,yes,construction or sales,no
no testing program,33,9,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,36,14,yes,male,white,not married,medium or high,yes,no,yes,construction or sales,yes
preemployment & random testing program,24,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,yes
preemployment testing program,20,10,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,31,12,yes,male,non-white,married,low,yes,no,yes,construction or sales,yes
no testing program,38,12,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,25,14,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,35,12,yes,female,non-white,not married,low,yes,no,no,other occupation,no
no testing program,36,12,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,32,16,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,22,14,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,34,12,yes,male,non-white,married,medium or high,yes,yes,no,construction or sales,no
no testing program,34,11,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,22,12,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,32,11,yes,male,non-white,married,medium or high,yes,no,yes,construction or sales,no
no testing program,41,12,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,35,12,no,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,44,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,22,12,yes,female,non-white,not married,medium or high,yes,yes,no,construction or sales,no
no testing program,23,9,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,24,12,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
preemployment testing program,39,10,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,27,12,yes,male,non-white,married,medium or high,yes,yes,no,construction or sales,no
no testing program,24,10,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,18,12,no,male,non-white,not married,medium or high,no,yes,no,construction or sales,no
no testing program,40,6,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,36,12,no,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,34,5,no,male,non-white,married,medium or high,yes,no,no,other occupation,yes
no testing program,37,14,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,49,4,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,23,12,no,female,non-white,not married,medium or high,yes,yes,no,construction or sales,no
preemployment testing program,23,17,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,26,12,no,female,non-white,married,medium or high,yes,yes,no,construction or sales,no
no testing program,43,4,yes,male,non-white,married,low,yes,no,no,other occupation,no
no testing program,24,13,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment testing program,24,10,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,32,11,yes,male,non-white,married,medium or high,yes,no,yes,construction or sales,no
no testing program,30,11,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
random testing program,38,16,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
no testing program,27,13,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,22,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,32,13,no,female,non-white,not married,medium or high,no,yes,no,construction or sales,no
no testing program,35,14,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,23,12,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,28,11,yes,female,non-white,married,medium or high,no,yes,no,construction or sales,no
preemployment testing program,31,10,no,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,26,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,25,12,yes,male,non-white,married,medium or high,no,yes,no,construction or sales,no
no testing program,23,10,no,female,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,31,12,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,29,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,31,8,yes,female,non-white,not married,low,yes,no,no,other occupation,no
no testing program,38,10,no,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,39,10,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,28,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,38,17,yes,male,non-white,not married,low,yes,no,no,other occupation,yes
no testing program,38,5,yes,male,non-white,married,medium or high,yes,no,yes,construction or sales,no
no testing program,32,12,no,male,non-white,married,low,yes,no,no,other occupation,yes
no testing program,32,4,yes,male,non-white,married,low,yes,no,no,other occupation,yes
preemployment testing program,21,12,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,18,9,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
no testing program,19,11,yes,male,non-white,not married,medium or high,yes,no,yes,construction or sales,no
no testing program,25,12,no,male,non-white,married,medium or high,yes,no,no,other occupation,yes
random testing program,42,12,yes,male,white,married,medium or high,yes,no,no,other occupation,no
no testing program,22,9,no,male,non-white,married,low,yes,no,no,other occupation,yes
no testing program,21,15,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,22,14,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,22,15,yes,male,non-white,married,medium or high,yes,no,no,other occupation,yes
preemployment testing program,27,16,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,19,12,no,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,31,16,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,24,13,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,29,6,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,48,12,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,19,12,no,male,non-white,not married,medium or high,yes,yes,no,construction or sales,yes
random testing program,25,13,yes,female,white,married,medium or high,no,no,no,other occupation,no
no testing program,18,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,27,10,yes,male,white,not married,medium or high,yes,yes,no,construction or sales,no
preemployment testing program,33,12,yes,female,non-white,married,low,no,yes,no,construction or sales,no
preemployment & random testing program,56,12,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,35,15,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,21,12,yes,male,non-white,not married,medium or high,no,no,yes,construction or sales,yes
no testing program,21,12,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,yes
preemployment & random testing program,44,17,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,31,12,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,37,10,no,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,29,16,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,38,15,no,female,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,47,14,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,25,12,yes,male,non-white,married,low,yes,no,yes,construction or sales,no
no testing program,30,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,28,6,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,20,12,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
no testing program,40,13,no,female,non-white,not married,medium or high,yes,no,no,other occupation,no
